name,type,annotation_Phylum,annotation_Genus,name editied,Prebiotic-responsive ,Trunk Fat % associated ,Lean Mass associated ,Hand Grip associated
s__GGB3740_SGB5077,Microbiome,Firmicutes,GGB3740,GGB3740 SGB5077 HG (-),,,, HG (-)
s__GGB3816_SGB5181,Microbiome,Firmicutes,GGB3816,GGB3816 SGB5181,,,,
s__GGB3817_SGB5182,Microbiome,Firmicutes,GGB3817,GGB3817 SGB5182,,,,
s__GGB3819_SGB5184,Microbiome,Firmicutes,GGB3819,GGB3819 SGB5184,,,,
s__GGB38744_SGB14842,Microbiome,Firmicutes,GGB38744,GGB38744 SGB14842,,,,
s__GGB3892_SGB5290,Microbiome,Firmicutes,GGB3892,GGB3892 SGB5290 TF (-),, TF (-),,
s__GGB41458_SGB58520,Microbiome,Firmicutes,GGB41458,GGB41458 SGB58520 Pre (+) TF (+), Pre (+), TF (+),,
s__GGB42378_SGB59548,Microbiome,Firmicutes,GGB42378,GGB42378 SGB59548 TF (-),, TF (-),,
s__GGB4250_SGB5750,Microbiome,Firmicutes,GGB4250,GGB4250 SGB5750 TF (+) LM (+),, TF (+), LM (+),
s__GGB4456_SGB6141,Microbiome,Firmicutes,GGB4456,GGB4456 SGB6141 LM (+),,, LM (+),
s__GGB45432_SGB63101,Microbiome,Actinobacteria,GGB45432,GGB45432 SGB63101 LM (-) HG (-),,, LM (-), HG (-)
s__GGB4549_SGB6271,Microbiome,Firmicutes,GGB4549,GGB4549 SGB6271 LM (+) HG (+),,, LM (+), HG (+)
s__GGB45491_SGB63163,Microbiome,Firmicutes,GGB45491,GGB45491 SGB63163 LM (-),,, LM (-),
s__GGB45495_SGB63167,Microbiome,Firmicutes,GGB45495,GGB45495 SGB63167 TF (-),, TF (-),,
s__GGB4552_SGB6276,Microbiome,Firmicutes,GGB4552,GGB4552 SGB6276,,,,
s__GGB45613_SGB63326,Microbiome,Firmicutes,GGB45613,GGB45613 SGB63326 LM (-),,, LM (-),
s__GGB45620_SGB63333,Microbiome,Firmicutes,GGB45620,GGB45620 SGB63333 TF (-) LM (-),, TF (-), LM (-),
s__GGB4567_SGB6307,Microbiome,Firmicutes,GGB4567,GGB4567 SGB6307 LM (+) HG (+),,, LM (+), HG (+)
s__GGB4567_SGB6308,Microbiome,Firmicutes,GGB4567,GGB4567 SGB6308 TF (-),, TF (-),,
s__GGB4571_SGB6317,Microbiome,Firmicutes,GGB4571,GGB4571 SGB6317,,,,
s__GGB4571_SGB6320,Microbiome,Firmicutes,GGB4571,GGB4571 SGB6320 TF (-),, TF (-),,
s__GGB4580_SGB6330,Microbiome,Firmicutes,GGB4580,GGB4580 SGB6330,,,,
s__GGB4602_SGB6365,Microbiome,Firmicutes,GGB4602,GGB4602 SGB6365,,,,
s__GGB4603_SGB6367,Microbiome,Firmicutes,GGB4603,GGB4603 SGB6367,,,,
s__GGB4605_SGB6376,Microbiome,Firmicutes,GGB4605,GGB4605 SGB6376 TF (-),, TF (-),,
s__GGB4617_SGB6392,Microbiome,Firmicutes,GGB4617,GGB4617 SGB6392,,,,
s__GGB4626_SGB6403,Microbiome,Firmicutes,GGB4626,GGB4626 SGB6403,,,,
